('1.0.0', 'DE9FDDA4085DD5FE', 'DE9FDDA4085DD5FE68DCB20B41095BB4010856AF280201552F38273B44CECD6F', '0.11.30.0'),
('2.0.0', 'CD7BBE18D6130B28', 'CD7BBE18D6130B28F62F19FA7945535B6829EFE64EF4AAF0DF8DA19885FE4A9A', '1.3.0.0'),
('2.0.0', 'CC24819A7C049048', 'CC24819A7C0490481DE9488A779F296A5CD2784932D472915F0791DCA3528A2A', '1.3.0.0'),
('2.1.0', '0D7005627B07767C', '0D7005627B07767C0B963F9AFFDDE56628A27116CFC4D8B2AF42BDEEBF97205B', '1.3.2.0'),
('2.1.0', '57B4A1BE6A8DD019', '57B4A1BE6A8DD0194839F593B84506B104DFFBA81D4B4E040BB6E3A3B583DF4B', '1.3.2.0'),
('3.0.0', 'A86DA5E87EF1097B', 'A86DA5E87EF1097B23DAB5B4DBBAEFE780310AE643D319D6A7A149B9688651A5', '3.4.0.0'),
('3.0.0', '18F2C3FF715EA0E8', '18F2C3FF715EA0E8AF4C9B4893CE5E8C3D015BAECE27AC26DF9D9E84003EAFCD', '3.4.0.0'),
('3.0.1', '57397C063F10B631', '57397C063F10B6313F4D837653CCC371BE2158BF6DD889326648D5C83D50CECF', '3.4.0.0'),
('3.0.1', '5D96F2862BE901C4', '5D96F2862BE901C4EC863FE5752556DED2490C8D1B635CD6F0A5D805D5109978', '3.4.0.0'),
('4.0.0', '06E90719595A010C', '06E90719595A010C6246FF70946F10FB367A00BBD8B7D8D1F25CCE0B458D7E89', '4.4.0.0'),
('4.0.0', '8016C407D26E5EAA', '8016C407D26E5EAADEA89F99D60840FAF5F8A1723C823DF14761A653E296302E', '4.4.0.0'),
('4.1.0', '8096AF7C6A35AA82', '8096AF7C6A35AA8271F3916995413B0B64CE03BD9BBFEB26F2B3E01C5427C69E', '4.4.0.0'),
('4.1.0', '72684ED13B128FE1', '72684ED13B128FE1230C406697C971E5A64D60F1C90D8DF86A9033414B76EE3B', '4.4.0.0'),
('5.0.0', 'A6F27AD9AC7C73AD', 'A6F27AD9AC7C73AD419B63B23E785A0CD7AA9DC1A63C57D10049423DE7B77E2C', '5.3.0.0'),
('5.0.0', 'A348BA5BB6A4310A', 'A348BA5BB6A4310A61A0FD752EE7963B42A2B2853D5D8F600F728FD13CC7A8D7', '5.3.0.0'),
('5.1.0', '76F87402C9387C0F', '76F87402C9387C0F0A2FAB1B45CEBB93E3E9695C7CFD390F00509B1204101C24', '5.3.0.0'),
('5.1.0', '43779B374961126B', '43779B374961126B29C9F8EFBDD1D227362F22ACE17D45DB9E1CD4F636E012CA', '5.3.0.0'),
('6.0.0', '3A574D436186191D', '3A574D436186191D1788EB2C0F076B11737132EBB1484CF906B6A8EB3B1BF459', '6.4.0.0'),
('6.0.0', 'E2BAE2C7CF7040E8', 'E2BAE2C7CF7040E80133565B7FF2C836ACFE82A3AB19222FBC92C6F6A689FC75', '6.4.0.0'),
